chemical,Drug
CIDs00042396,Prenalterol
CIDs00043672,Piperacillin
CIDs00043815,Paroxetine
CIDs00044093,Captopril
CIDs00044564,Lodoxamide
CIDs00047319,Atracurium
CIDs00047528,Nicorandil
CIDs00047725,Goserelin
CIDs00047811,Pergolide
CIDs00051263,Alfentanil
CIDs00051634,Miglustat
CIDs00053232,Lovastatin
CIDs00053708,Enoximone
CIDs00054158,Mebrofenin
CIDs00054454,Simvastatin
CIDs00054687,Pravastatin
CIDs00054746,Cabergoline
CIDs00055245,Mifepristone
CIDs00055283,Itraconazole
CIDs00055483,Dopexamine
CIDs00055645,Quinagolide
CIDs00056012,Tazobactam
CIDs00056959,Ranolazine
CIDs00057363,Finasteride
CIDs00057469,Imiquimod
CIDs00059768,Esmolol
CIDs00060026,Nateglinide
CIDs00060149,Sertindole
CIDs00060164,Adapalene
CIDs00060198,Exemestane
CIDs00060606,Clopidogrel
CIDs00060613,Cidofovir
CIDs00060648,Tiagabine
CIDs00060795,Aripiprazole
CIDs00060825,Lamivudine
CIDs00060846,Valsartan
CIDs00060855,Zanamivir
CIDs00060857,Zolmitriptan
CIDs00060877,Emtricitabine
CIDs00060953,Capecitabine
CIDs00062816,Colestipol
CIDs00062930,Norelgestromin
CIDs00064139,Efavirenz
CIDs00064685,Borneol
CIDs00064949,Propamidine
CIDs00065016,Amprenavir
CIDs00065028,Oseltamivir
CIDs00065054,Benethamine Penicillin
CIDs00065130,Hexamidine
CIDs00065492,Iopamidol
CIDs00065628,Bendamustine
CIDs00065632,Erdosteine
CIDs00065720,Terizidone
CIDs00065856,Reboxetine
CIDs00065866,Lercanidipine
CIDs00065906,Mizolastine
CIDs00065947,Prulifloxacin
CIDs00065981,Repaglinide
CIDs00065985,Iobitridol
CIDs00066379,Stannous Pyrophosphate
CIDs00067425,Gallamine
CIDs00068570,Estradiol
CIDs00068740,Zoledronic Acid
CIDs00068783,Nomegestrol
CIDs00068844,Brinzolamide
CIDs00068861,Dienogest
CIDs00068870,Tianeptine
CIDs00068873,Drospirenone
CIDs00068911,Artemether
CIDs00068926,Trimegestone
CIDs00069188,Ethyl Nicotinate
CIDs00071082,Ornithine
CIDs00071158,Acamprosate
CIDs00071301,Nebivolol
CIDs00071384,Dexrazoxane
CIDs00071616,Voriconazole
CIDs00071645,Mexenone
CIDs00071771,Aceclofenac
CIDs00072081,Terlipressin
CIDs00072474,Grepafloxacin
CIDs00073303,Doripenem
CIDs00074989,Atovaquone
CIDs00077992,Frovatriptan
CIDs00077993,Eletriptan
CIDs00082146,Bexarotene
CIDs00082148,Agomelatine
CIDs00082153,Flunisolide
CIDs00084029,Clarithromycin
CIDs00089594,Nicotine
CIDs00090202,Hexyl Nicotinate
