chemical,Drug
CIDm00005342,Sulphinpyrazone
CIDm00005565,Trientine
CIDm00005634,Undecenoic Acid
CIDm00005746,Mitomycin
CIDm00005771,Oxytocin
CIDm00005857,Lynoestrenol
CIDm00006224,Sodium Acid Citrate
CIDm00006224,Sodium Citrate
CIDm00006651,Terpin
CIDm00007019,Aminoacridine
CIDm00007188,Carbon
CIDm00007188,Piper
CIDm00007628,Sodium Perborate
CIDm00007628,Tetrakis Copper Tetrafluoroborate
CIDm00008612,Chloroprocaine
CIDm00010100,Dextropropoxyphene
CIDm00010631,Medroxyprogesterone
CIDm00011974,Dibrompropamidine
CIDm00014250,Human Clottable Protein
CIDm00014917,Calcium Fluoride
CIDm00014917,Sulphur Hexafluoride
CIDm00015684,Dichlorobenzyl Alcohol
CIDm00023576,Trimetaphan
CIDm00023703,Onasemnogene Abeparvovec
CIDm00023703,Urea Hydrogen Peroxide
CIDm00023993,Yttrium (90-Y) Dotatate
CIDm00024507,Potassium Sulphate
CIDm00024850,Aluminium Sulphate
CIDm00031209,Alpha-Amylcinnamaldehyde
CIDm00031236,Phenoxyethanol
CIDm00031315,Oxyphenisatine
CIDm00034055,Emepronium
CIDm00036523,Luteinising Hormone
CIDm00050294,Nedocromil
CIDm00062819,Follitropin Alfa
CIDm00062819,Follitropin Beta
CIDm00062819,Follitropin Delta
CIDm00065111,Decyl Methyl Sulphoxide
CIDm00065358,Eudragits
CIDm00071387,Clobetasone
CIDm00081263,Rhodiola
CIDm00092093,N-Cyclohexyl-N'-Phenylparaphenylenediamine
CIDm00092093,Paraphenylenediamine
CIDm00169298,Pinene (Alpha And Beta)
CIDm00287180,Acrosoxacin
CIDm00656671,Sodium Metabisulphite
CIDm00657298,Propylthiouracil
CIDm00667490,Mercaptopurine
CIDm02723601,Thioguanine
CIDm05280805,Acalabrutinib
CIDm05280805,Ibrutinib
CIDm05280805,Oxerutins
CIDm05280805,Zanubrutinib
CIDm05311054,Polymyxin
CIDm05461123,Silicone
CIDm06323266,Tipiracil
CIDm09865442,Loteprednol
CIDm16130140,Gramicidin
CIDm16132265,Corticotrophin
CIDm16132283,Glucagon
CIDm16186200,Corticorelin
CIDm73995022,Casein
