Molecule Name,Molecule ChEMBL ID,Target ChEMBL ID,Target Name,Activity ID,Assay ChEMBL ID,Standard Type,Standard Value,Standard Units,Reference
AMOXICILLIN,CHEMBL1082,CHEMBL372,Homo sapiens,1828306,CHEMBL855217,Cmax,51996.39,nM,CHEMBL1142137
AMOXICILLIN,CHEMBL1082,CHEMBL376,Rattus norvegicus,2125266,CHEMBL937143,Cmax,80457.57,nM,CHEMBL1145514
AMOXICILLIN,CHEMBL1082,CHEMBL612558,ADMET,2514852,CHEMBL1013272,Cmax,47070.41,nM,CHEMBL1138533
AMOXICILLIN,CHEMBL1082,CHEMBL612558,ADMET,2515698,CHEMBL977084,Cmax,47617.74,nM,CHEMBL1138533
AMOXICILLIN,CHEMBL1082,CHEMBL612558,ADMET,2723042,CHEMBL1063641,Cmax,24082.54,nM,CHEMBL1153548
AMOXICILLIN,CHEMBL1082,CHEMBL612558,ADMET,2723043,CHEMBL1063642,Cmax,302673.71,nM,CHEMBL1153548
AMPHOTERICIN B,CHEMBL267345,CHEMBL372,Homo sapiens,17805483,CHEMBL3889342,Cmax,2813.58,nM,CHEMBL3832550
AMPHOTERICIN B,CHEMBL267345,CHEMBL372,Homo sapiens,17805490,CHEMBL3889342,Cmax,3138.22,nM,CHEMBL3832550
AMPHOTERICIN B,CHEMBL267345,CHEMBL372,Homo sapiens,17805495,CHEMBL3889342,Cmax,3138.22,nM,CHEMBL3832550
AMPICILLIN,CHEMBL174,CHEMBL372,Homo sapiens,2667146,CHEMBL1032831,Cmax,9158.3,nM,CHEMBL1151474
AMPRENAVIR,CHEMBL116,CHEMBL372,Homo sapiens,2301681,CHEMBL1005847,Cmax,12063.92,nM,CHEMBL1137661
AMPRENAVIR,CHEMBL116,CHEMBL372,Homo sapiens,18052131,CHEMBL4011675,Cmax,15150.0,nM,CHEMBL4011582
ANIDULAFUNGIN,CHEMBL264241,CHEMBL372,Homo sapiens,2716280,CHEMBL1058390,Cmax,11.0,ug.mL-1,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,CHEMBL375,Mus musculus,2716284,CHEMBL1061703,Cmax,60000.0,ug.mL-1,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,CHEMBL375,Mus musculus,2716289,CHEMBL1061709,Cmax,4300.0,ug.mL-1,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,CHEMBL375,Mus musculus,2728162,CHEMBL1061706,Cmax,24000.0,ug.mL-1,CHEMBL1153564
ANIDULAFUNGIN,CHEMBL264241,CHEMBL375,Mus musculus,3510325,CHEMBL1261307,Cmax,60.0,ug.mL-1,CHEMBL1255494
ANIDULAFUNGIN,CHEMBL264241,CHEMBL375,Mus musculus,3510326,CHEMBL1261308,Cmax,24.0,ug.mL-1,CHEMBL1255494
ANIDULAFUNGIN,CHEMBL264241,CHEMBL375,Mus musculus,3510327,CHEMBL1261309,Cmax,4.3,ug.mL-1,CHEMBL1255494
ANIDULAFUNGIN,CHEMBL264241,CHEMBL613424,Plasma,5091279,CHEMBL1637375,Cmax,3.63,ug.mL-1,CHEMBL1629624
ANIDULAFUNGIN,CHEMBL264241,CHEMBL372,Homo sapiens,5169807,CHEMBL1658239,Cmax,6.6,ug.mL-1,CHEMBL1649284
APALUTAMIDE,CHEMBL3183409,CHEMBL375,Mus musculus,18099830,CHEMBL4021771,Cmax,6953.75,nM,CHEMBL4020755
APALUTAMIDE,CHEMBL3183409,CHEMBL376,Rattus norvegicus,18099844,CHEMBL4021775,Cmax,1981.4,nM,CHEMBL4020755
APALUTAMIDE,CHEMBL3183409,CHEMBL612558,ADMET,25559658,CHEMBL5348136,Cmax,9069.2,nM,CHEMBL5346890
APREMILAST,CHEMBL514800,CHEMBL376,Rattus norvegicus,2608050,CHEMBL1011637,Cmax,14331.94,nM,CHEMBL1152807
APREMILAST,CHEMBL514800,CHEMBL376,Rattus norvegicus,2608055,CHEMBL1022231,Cmax,2388.66,nM,CHEMBL1152807
ARTEMETHER,CHEMBL566534,CHEMBL372,Homo sapiens,3385211,CHEMBL1220183,Cmax,113.95,nM,CHEMBL1212751
ARTEMETHER,CHEMBL566534,CHEMBL372,Homo sapiens,3385214,CHEMBL1220181,Cmax,398.82,nM,CHEMBL1212751
,CHEMBL307261,CHEMBL372,Homo sapiens,5173249,CHEMBL1666754,Cmax,0.698,ug.mL-1,CHEMBL1649570
ASPIRIN,CHEMBL25,CHEMBL612558,ADMET,15444028,CHEMBL3509409,Cmax,14376.11,nM,CHEMBL3509396
ASPIRIN,CHEMBL25,CHEMBL612558,ADMET,15444034,CHEMBL3509415,Cmax,28308.17,nM,CHEMBL3509396
ASPIRIN,CHEMBL25,CHEMBL372,Homo sapiens,17806029,CHEMBL3889409,Cmax,48845.47,nM,CHEMBL3832023
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,634520,CHEMBL638692,Cmax,90.0,min,CHEMBL1133572
ATAZANAVIR,CHEMBL1163,CHEMBL373,Canis familiaris,2086068,CHEMBL945875,Cmax,4200.0,nM,CHEMBL1143257
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,2499931,CHEMBL981545,Cmax,5547.12,nM,CHEMBL1143406
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,2499932,CHEMBL981546,Cmax,2028.74,nM,CHEMBL1143406
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,2499933,CHEMBL981547,Cmax,3348.14,nM,CHEMBL1143406
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,2499996,CHEMBL981576,Cmax,7375.83,nM,CHEMBL1143406
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,2499999,CHEMBL981571,Cmax,8695.22,nM,CHEMBL1143406
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5094839,CHEMBL1633525,Cmax,7277.94,nM,CHEMBL1629549
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5095532,CHEMBL1633526,Cmax,4823.58,nM,CHEMBL1629549
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5095533,CHEMBL1633527,Cmax,3688.62,nM,CHEMBL1629549
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5223411,CHEMBL1674623,Cmax,3202.01,nM,CHEMBL1671853
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5223416,CHEMBL1674618,Cmax,3894.34,nM,CHEMBL1671853
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5230158,CHEMBL1676388,Cmax,1116.52,nM,CHEMBL1671733
