Feature,Importance
CKS2,0.0006104085641438951
EPHA6,0.00060963226661129
TCERG1L,0.000608100620646435
TOP1MT,0.0006072774838835903
NR6A1,0.0006055001113174327
EPHB3,0.0006024035377513961
HRH3,0.0005977893471090532
FES,0.0005963267445813606
DPP6,0.0005917407497482904
ABCG1,0.000588780648687539
MATK,0.0005876110598283719
PKN1,0.0005871692091916523
GABRA4,0.000586995526762883
ARL13A,0.0005867366840122105
EBP,0.000579535604790099
TBXAS1,0.0005785694246617124
APEX1,0.0005776495720123232
CYP4B1,0.0005756214302303999
FANCC,0.0005750316106300574
TIE1,0.0005748908216960372
SCN10A,0.000573639928076778
TGFBI,0.000571710538265803
TCERG1,0.0005712149052122894
XDH,0.0005687358839175626
MAP2K1,0.0005651086185489932
PLK4,0.0005616707975517991
STAT1,0.0005594824289096219
CYP2A7,0.0005571368630923711
CYP2C18,0.0005562368486388531
CYP2A13,0.0005551578762606631
NECTIN2,0.0005475779658721068
MAPK11,0.0005449972720324896
ODC1,0.0005449724135181293
CXCL13,0.00054287041414359
CEBPZ,0.0005375410015290149
TUBA4A,0.0005334717027231642
IL7,0.000532135280265023
BAZ1B,0.0005315771181307793
NOP10,0.000530195850381193
IL5,0.0005295008084699853
CREB1,0.0005289870518571445
DCLK3,0.0005276750725999285
FAT4,0.0005271594701059333
HTR1F,0.0005269448235168761
IL1B,0.0005239749020474912
UGT1A1,0.0005235446911197289
CYP3A43,0.0005230714731237494
FGF7,0.0005213367353902804
TSC1,0.0005188589885466151
ATP7A,0.0005187771327668264
PSMB8,0.0005146249580606777
EIF2S1,0.0005131418271053107
GSTP1,0.0005122557996476598
CYP2S1,0.0005108116369849099
RAD52,0.0005103171388292932
MPO,0.000509891060887408
H3-3B,0.0005097461619437933
CES1,0.0005089086139548125
DPP4,0.0005083952720482287
SLC6A9,0.0005066867560956864
CRH,0.0005027271601388799
TF,0.0005026307472656594
CFTR,0.0005012599254276949
CA2,0.0004989949352023832
FOXP3,0.0004981027224225732
GZMB,0.0004965918263097573
DNMT1,0.0004932678788906638
CYP46A1,0.0004927320196374151
NTRK2,0.0004919469412452744
LYZ,0.0004917364961194772
STK10,0.0004891281577963459
SLC22A8,0.00048733901922350754
RARA,0.000485617360445501
CDH1,0.00048463720905270494
HOXB2,0.000483519884207466
ITK,0.00048176849281999443
TLR4,0.0004815791517210954
PSMB2,0.00047966873934436393
CHEK2,0.000479601456856431
PPP3CB,0.0004792521947460227
HSPB3,0.0004718806934160971
HDAC7,0.00047111099987205506
SLC2A4,0.0004682021629797899
GIP,0.00046719514242467145
SLC19A1,0.0004646168124228658
UNC13D,0.00046389747971737255
CHRNA2,0.0004636622282717089
IRAK3,0.0004626539774104414
MGMT,0.00046253774644484274
RPTOR,0.00046188621235379026
PLAT,0.0004612702532665575
NFATC2,0.000460203025368568
TBX19,0.0004591620604082997
HRH4,0.0004576245851139633
IMPDH1,0.0004573576901908899
SMAD4,0.0004554101763971089
MMP7,0.0004551111402715107
EPHX2,0.0004487258918273871
BLM,0.0004486545990630991
IFNG,0.00044806669199563034
SLC15A1,0.00044600214020392717
EDNRB,0.00044578638409522957
SLC47A1,0.0004442946230802231
HDAC9,0.00044423274252929654
ABCC10,0.0004440736666491283
UGT1A3,0.00043882951205277703
RXRG,0.00043862917279679413
ATP4A,0.0004378143503037508
AXL,0.0004374905120307308
RHEB,0.0004369383234381137
WRN,0.0004338024987152035
ATP12A,0.00043378581500244824
NR2F2,0.0004279510852997512
CHRFAM7A,0.0004274150747210153
BAX,0.00042594797583796976
TSC2,0.0004256456492149216
CFLAR,0.0004250480621101646
TIMP2,0.00042493330918443284
KCNJ1,0.0004248837400135115
PIM1,0.00042479481944733436
NME7,0.00042394983240771667
CYP11B2,0.0004238938821119126
MAN1B1,0.00042297612586626656
SELP,0.00042274329137561515
EDNRA,0.0004188231820312879
ADAM17,0.0004177034003903345
JUN,0.0004166303213999555
FASN,0.00041631217905007333
TUBB,0.00041613487089677996
MSH2,0.00041589286130915877
SMAD7,0.00041550192656019503
NOX4,0.0004140238269603114
RUNX2,0.000413767253337521
AKR1C3,0.00040923376370166815
PPP3CA,0.00040895909230669747
GSTA2,0.00040856975704295356
DPP8,0.0004082917754923246
FN1,0.0004043054953587474
RARB,0.00040131061578918336
MAP3K11,0.000401075882925597
APOB,0.00039963177147536754
LGALS3,0.0003931090216056851
GLRA1,0.0003922385032446638
CDK2,0.00039010994541064124
DPP9,0.00038913964917791015
EIF2S2,0.0003888269273425532
PLG,0.0003882026497799416
SLC22A6,0.0003865008315721004
PRDM10,0.00038552225693822516
PPIG,0.00038451553990768517
CSF1,0.00038321198284488415
CD79A,0.0003812413929607547
ALAD,0.0003809110394022291
NFKBIA,0.00038059051550535996
GADD45A,0.0003795842192902242
UGT1A7,0.00037908065290315435
FBH1,0.00037899689450822464
GABRB1,0.0003787453167204467
SRY,0.0003785335411122297
LTF,0.000378247991704238
