Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
4.7,0,0,0,0,5,4,0,72287,328.16093457,328.5,0,23,1,378,1,41,328.16093457
3.3,0,0,1,0,2,2,0,13109,312.208930132,312.4,0,23,6,609,1,37.3,312.208930132
3.1,0,0,1,0,0,2,0,5359272,257.177964357,257.37,0,19,3,357,1,23.5,257.177964357
2.3,0,0,2,0,3,6,0,3033825,280.10725903,280.28,0,21,1,549,1,113,280.10725903
2.4,0,0,3,0,5,5,0,5819,776.6867,776.87,0,24,1,420,1,92.8,776.6867
2.3,0,0,1,0,5,2,0,3676,234.173213330,234.34,0,17,0,228,1,32.3,234.173213330
-1.6,0,0,3,0,7,6,0,42963,294.12157168,294.30,0,21,0,373,1,107,294.12157168
6,0,0,1,0,9,5,0,3926,491.27481907,491.6,0,36,0,623,1,35.6,491.27481907
-6.8,0,0,19,0,13,28,0,16158208,1525.3899216,1526.8,0,101,14,3030,1,726,1525.3899216
1.9,0,0,1,0,4,7,0,10096344,472.23352217,472.5,0,35,1,885,1,113,472.23352217
0.2,0,0,5,0,7,8,0,3000540,406.21375798,406.5,0,27,9,498,1,148,406.21375798
0.7,0,0,1,0,4,6,0,441401,337.14378429,337.35,0,24,1,472,1,71.1,337.14378429
1.7,0,0,3,0,5,5,0,5920,650.7901,650.97,0,23,1,402,1,92.8,650.7901
-8.6,0,0,12,0,19,20,13,77910626,730.27562525,730.7,0,50,0,1170,1,365,730.27562525
-3.4,0,0,54,0,132,55,0,16134956,3749.9498161,3751,0,266,31,8760,1,1510,3748.9464612
1.2,0,0,3,0,8,3,0,11597698,263.199762429,263.38,0,19,2,252,1,81.1,263.199762429
-2.9,0,0,4,0,12,7,0,5362119,405.22637110,405.5,0,29,3,550,1,133,405.22637110
N/A,0,0,0,0,0,0,0,3028194,7.01600343,7.0,0,1,0,0,1,0,7.01600343
-30.8,0,0,70,0,170,77,0,90472060,4857.5510314,4858,0,342,42,11800,1,2090,4855.5443218
3.8,0,0,1,0,6,3,0,101616,337.204179104,337.5,0,25,3,412,1,40.5,337.204179104
0.5,0,0,4,0,4,7,0,44564,310.9945126,311.63,0,21,0,489,1,157,310.9945126
6.8,0,0,0,0,7,3,0,3947,418.1811912,419.0,0,30,0,523,1,23.6,418.1811912
2.6,0,0,1,0,3,2,1,30668,258.0326684,259.13,0,16,0,263,1,33.6,258.0326684
-0.8,0,0,2,0,3,8,1,3948,351.13944780,351.35,0,25,0,585,1,72.9,351.13944780
8.6,0,0,2,0,10,9,0,9853053,693.27899640,693.7,0,50,0,1110,1,61.4,693.27899640
2.8,0,0,1,0,3,3,0,3950,233.0931045,233.69,0,15,0,219,1,61.8,233.0931045
5,0,0,1,0,7,3,0,3955,476.2230560,477.0,0,34,0,623,1,43.8,476.2230560
5.9,0,0,4,0,15,5,0,92727,628.36247064,628.8,0,46,4,940,1,120,628.36247064
2.9,0,0,0,0,2,7,0,3033860,464.1363662,464.9,1,33,0,891,1,97.3,464.1363662
5.2,0,0,0,0,2,3,0,3957,382.1448057,382.9,0,27,0,569,1,42.4,382.1448057
2.4,0,0,2,0,1,3,1,3958,320.0119330,321.2,0,21,0,443,1,61.7,320.0119330
1.5,0,0,1,0,0,7,0,71731823,406.15535203,406.4,0,30,1,700,1,110,406.15535203
2.4,0,0,1,0,1,3,1,13314,334.0275830,335.2,0,22,0,471,1,52.9,334.0275830
4.3,0,0,2,0,8,5,0,3961,422.1621871,422.9,0,30,0,520,1,92.5,422.1621871
2.6,0,0,2,0,3,5,0,9865442,394.1547017,394.9,0,27,7,745,1,83.8,394.1547017
4.3,0,0,1,0,7,5,0,53232,404.25627424,404.5,0,29,8,666,1,72.8,404.25627424
3.1,0,0,0,0,1,3,0,3964,327.1138399,327.8,0,23,0,450,1,28.1,327.1138399
4,0,0,2,0,11,7,0,157920,390.22178044,390.5,0,27,4,525,1,83.8,390.22178044
